model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",1428,0.7460881934566144,0.636067327924913,0.6939560439560439,0.6565403737386496,0.8030952380952382,0.4661095360398284
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",939,0.7410384068278804,0.6335117204776648,0.6945054945054947,0.6556691952430576,0.7981510989010989,0.45892012921740316
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1, 2)",1398,0.7383357041251779,0.6278082443871918,0.7021978021978021,0.6554522049958156,0.7990366300366298,0.457486560203325
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",971,0.7408961593172119,0.6295031129860852,0.7016483516483516,0.6554098527220837,0.8005934065934065,0.4609522604031994
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'protvec')",10-folds cv,"(1,)",482,0.7409672830725464,0.6347679513468989,0.695054945054945,0.6552697565375051,0.7993241758241758,0.46074984597321017
linear,"('no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",785,0.7383357041251779,0.6249024912995502,0.6989010989010989,0.6552167246208829,0.7983287545787545,0.45250380259250694
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1,)",924,0.7383357041251779,0.6270756436545911,0.7021978021978021,0.6550662563340048,0.798110805860806,0.4573119745828055
linear,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",395,0.7383357041251779,0.6219473581973582,0.6994505494505494,0.654654653776554,0.7991135531135531,0.4517096774282973
linear,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1,)",385,0.738406827880512,0.6329630336983278,0.6912087912087912,0.654194112381641,0.8042912087912087,0.4525863439830671
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(2,)",497,0.7383357041251779,0.6235167464114834,0.7021978021978021,0.6539978858944376,0.8016300366300365,0.45556367558436583
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2, 3)",1904,0.7383357041251779,0.6293562320032909,0.6945054945054945,0.6537855383291489,0.7978058608058609,0.45428632806629776
linear,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(3,)",160,0.7381934566145093,0.6318197978492097,0.6873626373626374,0.653348650072788,0.7738195970695971,0.45122143806697573
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",810,0.7435988620199148,0.6416304855275443,0.6840659340659341,0.6531881605401096,0.8084075091575091,0.4604794133141857
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",497,0.7409672830725461,0.641249012425483,0.6791208791208792,0.6531396253505843,0.7985,0.4548667264177769
linear,"('no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",1220,0.7384779516358464,0.6321428571428571,0.6846153846153846,0.6529762952324024,0.8064661172161172,0.44944325672823054
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",197,0.740896159317212,0.6329330718301307,0.6868131868131868,0.6524517190807186,0.7814084249084249,0.45582982722277
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 3)",1430,0.7383357041251779,0.6288705154494629,0.695054945054945,0.6523961933191142,0.7978617216117216,0.45548704362663034
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(3,)",956,0.7382645803698435,0.6305617408906883,0.6945054945054946,0.6521838391787241,0.7975183150183152,0.45590333389847837
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(2, 3)",480,0.7411095305832147,0.6357382555524971,0.6862637362637363,0.6520456365617655,0.8021886446886446,0.4571474108746177
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2, 3)",1650,0.7356330014224751,0.6223255897868901,0.6989010989010989,0.6516432211140597,0.7922445054945054,0.44957679930407046
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(1, 3)",1398,0.7356330014224752,0.6257614607614608,0.6945054945054945,0.6514199469312995,0.7975155677655679,0.4501393766196185
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",512,0.738406827880512,0.6316434185010037,0.6868131868131868,0.6511507574428687,0.8022252747252748,0.4519908786808404
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1, 2)",480,0.7435988620199147,0.6405504437083385,0.6796703296703297,0.6511496947624893,0.7979697802197803,0.45942205360529054
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(3,)",465,0.738406827880512,0.629949180076889,0.6879120879120879,0.6510639471561632,0.8025851648351647,0.4520754302595053
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(2,)",924,0.7357041251778094,0.6254272920062395,0.695054945054945,0.6507724020401506,0.7975283882783882,0.4510080019621472
linear,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(2,)",385,0.7330725462304409,0.6158832017655548,0.6989010989010989,0.6506794315674607,0.8019688644688646,0.4430203084172367
linear,"('no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1,)",360,0.7358463726884779,0.6288162083015024,0.6840659340659341,0.650023384590949,0.8058076923076923,0.44521468168445616
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'protvec')",10-folds cv,"(2, 3)",1398,0.7356330014224751,0.6256166859456334,0.6945054945054946,0.6498028867977718,0.7978131868131868,0.4509375122373552
linear,"('no_reduction', 'hydro')","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",395,0.7411095305832147,0.6449907290851563,0.676923076923077,0.6497382218915841,0.8081675824175824,0.456761883527298
linear,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(2,)",956,0.7356330014224751,0.625080971659919,0.6945054945054945,0.6496551035465401,0.8005705128205127,0.45071333748005715
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",810,0.7330725462304409,0.6136352523465527,0.6989010989010989,0.6488093624427835,0.8029560439560441,0.4423810629006358
linear,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",810,0.7409672830725462,0.6353986617957207,0.676923076923077,0.6487985817803262,0.8034542124542124,0.4517077720934267
linear,"('no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",380,0.738406827880512,0.6313577504366978,0.6840659340659341,0.6485517240453282,0.8116108058608059,0.4505080178734616
linear,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",187,0.7382645803698435,0.6310858585858586,0.6807692307692308,0.6485373683293594,0.7721456043956043,0.44941962676472985
linear,"('conform', 'no_reduction', 'hydro')","('tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",495,0.7384779516358464,0.6342898020452201,0.6796703296703297,0.6483892677803558,0.799448717948718,0.45092251697586977
linear,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",939,0.7382645803698435,0.6286023844576476,0.6873626373626374,0.6483871839332859,0.8018021978021979,0.451888818125635
