model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
rf,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",455,0.7753200568990043,0.7511732711732713,0.5758241758241758,0.6449970721709853,0.8549679487179487,0.49955640164214543
rf,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(3,)",470,0.7832147937411095,0.7682264957264957,0.5681318681318681,0.644718794892708,0.8649986263736263,0.5131574379639476
rf,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(3,)",476,0.7935988620199146,0.7955677655677655,0.5598901098901099,0.6446521365743332,0.8489409340659341,0.5336542141752061
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2)",980,0.7912517780938833,0.8061813186813186,0.5543956043956044,0.6446418396418396,0.8736117216117216,0.533288901589137
rf,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat')",10-folds cv,"(1,)",486,0.7858463726884779,0.7818267843267843,0.5604395604395604,0.64419603584821,0.857239010989011,0.5192629022007696
rf,"('no_reduction',)","('mat',)",10-folds cv,"(1, 3)",800,0.7884779516358464,0.7777106227106227,0.5593406593406594,0.6430360200016951,0.8778173076923077,0.5198789870405173
rf,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1235,0.7965860597439546,0.8398268398268398,0.5472527472527473,0.6427743271221531,0.8808209706959707,0.5486568821179342
rf,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(1,)",55,0.7622332859174964,0.7177579365079365,0.5967032967032967,0.6418920432113835,0.8359743589743589,0.4787462222155193
rf,"('no_reduction',)","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(2,)",475,0.7859174964438124,0.8082434232434232,0.5456043956043957,0.6407000192789666,0.8647142857142857,0.524484973199173
rf,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(3,)",450,0.7780227596017071,0.7518559218559219,0.5747252747252747,0.6406575096290239,0.8618658424908425,0.5031794799669477
rf,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 3)",820,0.7805832147937413,0.767420634920635,0.5747252747252747,0.6403813190692986,0.8709152930402929,0.5111025541827077
rf,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1,)",470,0.7753911806543387,0.7629587079587079,0.5752747252747252,0.640096126096126,0.8570137362637362,0.5030039039080388
rf,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2, 3)",1270,0.7806543385490754,0.7906998556998557,0.5604395604395604,0.6395090479367288,0.8815970695970696,0.515880947856242
rf,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1,)",476,0.7885490753911806,0.8060464535464534,0.5461538461538462,0.6383032756716968,0.8745563186813188,0.5267867152363537
rf,"('no_reduction',)","('protvec',)",10-folds cv,"(1,)",50,0.7725462304409672,0.7367857142857143,0.5818681318681319,0.6378676961885357,0.843908424908425,0.49334667431465196
rf,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",425,0.7831436699857752,0.8022619047619047,0.5516483516483517,0.6360730935730936,0.8550815018315019,0.5184331606092123
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2)",1430,0.7806543385490754,0.7513492063492063,0.5686813186813187,0.6360727919423572,0.8421520146520146,0.5042626736679704
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(3,)",47,0.7569701280227596,0.6754043179043179,0.6131868131868132,0.6354467106967107,0.8261423992673992,0.4626658461667509
rf,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(3,)",55,0.7647226173541963,0.717124542124542,0.5967032967032967,0.6352256950054629,0.83521336996337,0.48147853956242914
rf,"('no_reduction',)","('mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1215,0.7912517780938834,0.8168928293928293,0.5472527472527473,0.6347065936859988,0.8563287545787546,0.5349347388287901
rf,"('no_reduction',)","('counts', 'protvec')",10-folds cv,"(1,)",70,0.7620199146514937,0.7126984126984128,0.589010989010989,0.6346244879003501,0.8373131868131869,0.47379805856498597
rf,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 3)",895,0.7858463726884779,0.8020326895326896,0.554945054945055,0.6342231885761298,0.8616204212454213,0.5233829141524644
rf,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1, 3)",45,0.7649359886201992,0.7125679875679876,0.5763736263736263,0.63420624303233,0.8465407509157508,0.4725757795666299
rf,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(1, 2)",925,0.7860597439544807,0.7921900321900321,0.5467032967032968,0.6339783414314307,0.8601936813186815,0.5184756981967364
rf,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",1275,0.7882645803698434,0.8004689754689756,0.5445054945054946,0.6338715769356501,0.8619001831501831,0.5235910974356877
rf,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",460,0.7805120910384069,0.7737964812964813,0.5521978021978022,0.6336660923617445,0.8688869047619049,0.5064515998662278
rf,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(1, 2, 3)",1347,0.7911806543385491,0.8224891774891775,0.5373626373626375,0.6335912910618793,0.8474720695970696,0.5326212906343349
rf,"('conform', 'no_reduction', 'hydro')","('counts',)",10-folds cv,"(1,)",32,0.7569701280227596,0.6773682200152789,0.6043956043956042,0.6331900802612704,0.8364377289377289,0.4597219627534974
rf,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(2, 3)",850,0.7912517780938834,0.8493650793650793,0.5230769230769231,0.6328329769122608,0.8562751831501831,0.5382335298004125
rf,"('no_reduction',)","('mat',)",10-folds cv,"(1,)",400,0.7807254623044098,0.8012751137751138,0.5521978021978022,0.6322612539492335,0.8689377289377289,0.5161289616332946
rf,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",455,0.7857041251778095,0.8246572871572873,0.5368131868131868,0.6321231356051655,0.867129120879121,0.5264706639365028
rf,"('no_reduction',)","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",880,0.7833570412517782,0.8078751803751804,0.5390109890109891,0.6317267080745342,0.8711689560439562,0.5184810275845712
rf,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1,)",425,0.785846372688478,0.7890384615384616,0.5456043956043956,0.6313325976855388,0.8746625457875459,0.5161181881905761
rf,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(1,)",25,0.7567567567567568,0.6907406482406483,0.5906593406593407,0.6307522812020563,0.8265819597069598,0.4599284729182879
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2,)",506,0.7753911806543387,0.7430952380952381,0.5681318681318681,0.630644800920663,0.8595576923076923,0.4945686711616279
rf,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(1, 3)",860,0.7753200568990042,0.7590057165057166,0.5538461538461539,0.630420767638159,0.869569597069597,0.49584574764480766
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2)",1010,0.7832859174964438,0.7789502164502164,0.5472527472527473,0.6303758815131812,0.8548502747252746,0.5110093981000227
rf,"('conform', 'no_reduction')","('counts', 'mat', 'protvec')",10-folds cv,"(3,)",626,0.7806543385490754,0.7786430236430235,0.5532967032967032,0.6300157970684286,0.8504088827838828,0.5094266415622034
rf,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(2, 3)",895,0.7859886201991466,0.8026479076479076,0.5379120879120879,0.6297269260106788,0.855374542124542,0.5192772094003327
rf,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2, 3)",875,0.7806543385490754,0.778968253968254,0.5461538461538462,0.6293930300566457,0.8590068681318682,0.5074264150505755
rf,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(3,)",35,0.7541251778093885,0.6852455877455877,0.59010989010989,0.6289124241298154,0.841543956043956,0.4546772437129549
rf,"('conform', 'no_reduction')","('mat', 'protvec')",10-folds cv,"(1, 3)",1048,0.7753911806543385,0.7576731601731602,0.5532967032967033,0.6284908424908425,0.8536991758241758,0.49454378588485176
rf,"('conform', 'no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 3)",1010,0.7673541963015647,0.7375233100233101,0.5604395604395604,0.6283427442123093,0.8556492673992674,0.48033909762170024
rf,"('no_reduction',)","('mat', 'tfeat')",10-folds cv,"(1, 3)",810,0.7833570412517783,0.7874653124653124,0.5412087912087912,0.628323959031053,0.8632252747252748,0.5126721785982855
rf,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 2, 3)",1330,0.7832147937411096,0.7950410700410699,0.539010989010989,0.6279320961266041,0.8688388278388277,0.5137635703170804
rf,"('no_reduction',)","('mat',)",10-folds cv,"(2, 3)",800,0.7832859174964437,0.7781374181374183,0.5450549450549451,0.6277818725108238,0.8663108974358973,0.5094641789242181
