model,string_conversions,feat_types,dataset,offsets,nfeat,accuracy,precision,recall,f1_score,auc_roc,mcc
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(1, 2)",820,0.762233286,0.668796481,0.7,0.675946701,0.833023352,0.497112683
ann,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1,)",460,0.714438122,0.723809524,0.375824176,0.452750108,0.832690476,0.342010618
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2)",875,0.77254623,0.677749588,0.721428571,0.692773674,0.832516941,0.519862581
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(3,)",425,0.780512091,0.678240582,0.751648352,0.710841285,0.831975275,0.539299564
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1,)",470,0.770056899,0.71686987,0.665384615,0.65825593,0.831193681,0.512937381
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(1, 2)",948,0.772759602,0.690707609,0.707142857,0.689243453,0.830836538,0.520768637
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(3,)",420,0.775391181,0.681289763,0.715384615,0.694949495,0.830624084,0.521223116
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(3,)",450,0.767211949,0.660727923,0.730769231,0.688358583,0.830579212,0.511527596
ann,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1,)",425,0.695874822,0.532480239,0.393406593,0.406591029,0.830087912,0.284639585
ann,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(1,)",450,0.759103841,0.662980949,0.72967033,0.683811424,0.828637363,0.506413218
ann,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(3,)",476,0.759246088,0.652747913,0.723076923,0.681650447,0.827710623,0.495905159
ann,"('no_reduction',)","('mat', 'tfeat')",10-folds cv,"(1,)",405,0.748790896,0.755490482,0.587912088,0.599339312,0.827302656,0.470744183
ann,"('no_reduction',)","('mat',)",10-folds cv,"(2, 3)",800,0.764864865,0.674028113,0.708241758,0.681866108,0.826989469,0.505316615
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(3,)",474,0.754054054,0.6407838,0.73021978,0.678706462,0.82310119,0.488259734
ann,"('no_reduction',)","('mat',)",10-folds cv,"(3,)",400,0.791109531,0.699632523,0.752197802,0.720522351,0.822188187,0.560076004
ann,"('no_reduction',)","('mat',)",10-folds cv,"(1, 2)",800,0.756899004,0.657642211,0.692307692,0.67126671,0.820928114,0.482393024
ann,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(1, 3)",850,0.746159317,0.655196078,0.795054945,0.704263056,0.818018773,0.504608091
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(3,)",470,0.753911807,0.650199764,0.701648352,0.660964544,0.817740385,0.484834094
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1,)",47,0.743598862,0.69297619,0.537912088,0.601560107,0.816475275,0.427391981
ann,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(3,)",449,0.754054054,0.655103785,0.678021978,0.662027859,0.814535714,0.473254148
ann,"('conform', 'no_reduction', 'hydro')","('mat', 'tfeat')",10-folds cv,"(1,)",489,0.690611664,0.71952381,0.264835165,0.359825198,0.814181319,0.270829296
ann,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(1, 2)",850,0.754125178,0.680168117,0.757692308,0.700936073,0.812146978,0.508086206
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1,)",35,0.701422475,0.643822011,0.535714286,0.556834389,0.810190476,0.363979392
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(1, 3)",30,0.714722617,0.669181652,0.465934066,0.535258778,0.809580128,0.361795101
ann,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(2, 3)",80,0.743243243,0.651044586,0.714285714,0.662693639,0.809507784,0.481982736
ann,"('no_reduction', 'hydro')","('mat', 'tfeat')",10-folds cv,"(1,)",435,0.721834993,0.634899267,0.480769231,0.496758456,0.808747253,0.368010137
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(1,)",25,0.709317212,0.632182401,0.507692308,0.551927126,0.807260989,0.353782204
ann,"('no_reduction',)","('counts', 'mat')",10-folds cv,"(2,)",420,0.746443812,0.64482919,0.655494505,0.645418509,0.807240842,0.453165236
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(2,)",470,0.730369844,0.655724323,0.618681319,0.600562634,0.807230769,0.434109316
ann,"('conform', 'no_reduction')","('mat', 'tfeat')",10-folds cv,"(1,)",459,0.72197724,0.669855072,0.643406593,0.600861901,0.806042582,0.446671706
ann,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",425,0.703200569,0.589578755,0.547252747,0.532808081,0.804332875,0.353796168
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1, 2)",45,0.698648649,0.611936397,0.436263736,0.50221965,0.802627289,0.310449104
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2,)",506,0.722617354,0.608456044,0.676923077,0.63363829,0.802114011,0.422230856
ann,"('no_reduction', 'hydro')","('counts', 'mat')",10-folds cv,"(2,)",450,0.738406828,0.625599474,0.684615385,0.647036866,0.802095238,0.449283735
ann,"('conform', 'no_reduction')","('counts',)",10-folds cv,"(1,)",27,0.735490754,0.663888889,0.557692308,0.595382415,0.801551282,0.413677645
ann,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(1,)",55,0.735704125,0.588895202,0.621978022,0.596430767,0.800909799,0.412961849
ann,"('conform', 'no_reduction')","('counts', 'mat')",10-folds cv,"(2,)",476,0.741038407,0.630297741,0.698901099,0.658217096,0.800890568,0.457815515
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1, 3)",170,0.706187767,0.570639124,0.624725275,0.569520975,0.800569597,0.373353835
ann,"('no_reduction',)","('mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",455,0.73029872,0.714418498,0.532417582,0.57359463,0.800123626,0.41855454
ann,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat')",10-folds cv,"(1,)",486,0.689829303,0.682651077,0.517032967,0.512665267,0.799761905,0.358662731
ann,"('conform', 'no_reduction', 'hydro')","('mat',)",10-folds cv,"(2,)",474,0.725177809,0.615288462,0.648351648,0.622083974,0.799630495,0.417980738
ann,"('conform', 'no_reduction')","('counts', 'tfeat')",10-folds cv,"(3,)",37,0.741322902,0.659047888,0.633516484,0.641827778,0.799467491,0.443653927
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(3,)",25,0.725320057,0.637353801,0.58956044,0.602736799,0.798947802,0.403327869
ann,"('no_reduction', 'hydro')","('mat', 'tfeat')",10-folds cv,"(3,)",435,0.690896159,0.57630853,0.558791209,0.508527323,0.798769231,0.349122353
ann,"('no_reduction',)","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 3)",830,0.72802276,0.54699362,0.621428571,0.568155039,0.798612637,0.409479983
ann,"('no_reduction', 'hydro')","('counts', 'mat', 'tfeat')",10-folds cv,"(1, 3)",895,0.777596017,0.602482517,0.565384615,0.581400761,0.798308608,0.469307909
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(2,)",25,0.709601707,0.608304196,0.502197802,0.541067827,0.798246337,0.344301867
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(2,)",160,0.71970128,0.653704824,0.641208791,0.607759764,0.796739011,0.428014183
ann,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(2,)",450,0.738193457,0.680250141,0.635714286,0.617742307,0.796453297,0.454836848
ann,"('no_reduction',)","('mat', 'tfeat')",10-folds cv,"(1, 2)",810,0.754196302,0.626344244,0.570879121,0.589209605,0.796414377,0.441548935
ann,"('no_reduction',)","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(3,)",475,0.725106686,0.678277778,0.588461538,0.599065062,0.795442766,0.424305706
ann,"('conform', 'no_reduction')","('counts', 'tfeat')",10-folds cv,"(1,)",37,0.71173542,0.629454712,0.499450549,0.552840802,0.794686813,0.352346822
ann,"('conform', 'hydro')","('mat',)",10-folds cv,"(2, 3)",148,0.719487909,0.603773527,0.677472527,0.626908653,0.794003663,0.41705014
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(1, 2)",30,0.71458037,0.677990196,0.444505495,0.503575307,0.793817766,0.357553169
ann,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2, 3)",85,0.711664296,0.642821068,0.508791209,0.552565989,0.793733516,0.36241898
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(2,)",47,0.72254623,0.631893939,0.53021978,0.568773081,0.792668956,0.377444941
ann,"('no_reduction', 'hydro')","('mat',)",10-folds cv,"(2,)",425,0.728093883,0.623223166,0.663186813,0.635408463,0.792568681,0.428098935
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1, 3)",870,0.714651494,0.632119034,0.693406593,0.642045499,0.791890568,0.422419194
ann,"('conform', 'hydro')","('mat',)",10-folds cv,"(1, 2, 3)",222,0.711450925,0.608433601,0.603296703,0.597776891,0.791451923,0.381165159
ann,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(2, 3)",60,0.711664296,0.621069519,0.570879121,0.570941116,0.791115385,0.378969746
ann,"('no_reduction',)","('counts', 'tfeat')",10-folds cv,"(2, 3)",30,0.704125178,0.594691404,0.546153846,0.559022942,0.79000641,0.34830598
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(1, 2, 3)",1270,0.767354196,0.565706965,0.617032967,0.585701785,0.789901099,0.466605178
ann,"('conform', 'no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1, 2)",62,0.719843528,0.658098421,0.495604396,0.535928178,0.789878205,0.372188747
ann,"('conform', 'no_reduction')","('counts', 'tfeat')",10-folds cv,"(2,)",37,0.714651494,0.646449384,0.457692308,0.528028044,0.789627289,0.349437287
ann,"('conform',)","('counts', 'mat')",10-folds cv,"(2, 3)",105,0.719416785,0.59743482,0.698351648,0.640918333,0.789097527,0.420611784
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(2,)",35,0.714722617,0.637708403,0.479120879,0.538807772,0.78897619,0.353005518
ann,"('conform', 'no_reduction')","('counts', 'mat', 'tfeat')",10-folds cv,"(3,)",486,0.746443812,0.638869048,0.583516484,0.574351396,0.788318681,0.437882579
ann,"('no_reduction',)","('mat',)",10-folds cv,"(2,)",400,0.73314367,0.629182288,0.64010989,0.627392275,0.787592949,0.427402766
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(3,)",35,0.727382646,0.612973432,0.773076923,0.669233944,0.78757326,0.475560928
ann,"('no_reduction',)","('counts', 'protvec')",10-folds cv,"(1,)",70,0.754196302,0.65247788,0.693956044,0.662114178,0.787538462,0.481352112
ann,"('conform', 'no_reduction')","('tfeat', 'protvec')",10-folds cv,"(1,)",160,0.740967283,0.668700466,0.583516484,0.602397592,0.786925366,0.434961406
ann,"('no_reduction',)","('counts', 'mat', 'protvec')",10-folds cv,"(2, 3)",870,0.708036984,0.63139863,0.717582418,0.64254246,0.786840659,0.428947366
ann,"('no_reduction',)","('mat', 'protvec')",10-folds cv,"(3,)",450,0.746301565,0.688634348,0.671978022,0.644307035,0.786778846,0.477044999
ann,"('no_reduction', 'hydro')","('counts',)",10-folds cv,"(1,)",25,0.727596017,0.612283125,0.652747253,0.62405061,0.786747253,0.419891037
ann,"('no_reduction',)","('counts', 'mat', 'tfeat', 'protvec')",10-folds cv,"(1,)",475,0.71970128,0.683645276,0.564835165,0.548815359,0.78582326,0.410669722
ann,"('conform', 'no_reduction')","('mat',)",10-folds cv,"(2,)",449,0.727596017,0.620310003,0.66978022,0.636274804,0.78531044,0.429168462
ann,"('no_reduction',)","('counts', 'tfeat', 'protvec')",10-folds cv,"(1, 2)",80,0.71970128,0.64967274,0.582967033,0.601469222,0.785093407,0.399304095
ann,"('conform', 'hydro')","('counts', 'mat')",10-folds cv,"(1, 2, 3)",234,0.703485064,0.587829439,0.625274725,0.600489801,0.7847413,0.371385029
ann,"('no_reduction',)","('tfeat', 'protvec')",10-folds cv,"(3,)",55,0.730227596,0.688422688,0.542857143,0.577847888,0.784127747,0.410688376
ann,"('conform', 'hydro')","('counts', 'mat')",10-folds cv,"(2, 3)",160,0.722048364,0.611569053,0.675824176,0.629568461,0.783742674,0.422587024
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(1, 2, 3)",55,0.725320057,0.640681255,0.54010989,0.567262964,0.78339011,0.388900664
ann,"('conform', 'no_reduction')","('counts', 'tfeat', 'protvec')",10-folds cv,"(3,)",187,0.722688478,0.611048489,0.681318681,0.620447867,0.783350733,0.428404505
ann,"('no_reduction',)","('protvec',)",10-folds cv,"(1,)",50,0.72745377,0.61490134,0.663736264,0.630212059,0.783160256,0.425505494
ann,"('no_reduction', 'hydro')","('counts', 'tfeat')",10-folds cv,"(2, 3)",45,0.717211949,0.608819514,0.59010989,0.597125174,0.782818681,0.381940983
